timestamp,data
16995.647824758,ProducerMsg_0_16995.521232393
16995.771372397,ProducerMsg_1_16995.571325252
16996.021411346,ProducerMsg_2_16995.621322168
16996.271403202,ProducerMsg_3_16995.671292270
16996.554858167,ProducerMsg_4_16995.721290445
16996.771317285,ProducerMsg_5_16995.771284749
16997.025988739,ProducerMsg_6_16995.821294924
16997.271305458,ProducerMsg_7_16995.871274655
16997.533934680,ProducerMsg_8_16995.921270627
16997.774616022,ProducerMsg_9_16995.971269876
16998.021355800,ProducerMsg_10_16996.021281791
16998.291503570,ProducerMsg_11_16996.071272541
16998.553870182,ProducerMsg_12_16996.121271493
16998.771418768,ProducerMsg_13_16996.171286446
16999.034084562,ProducerMsg_14_16996.221298880
16999.271306290,ProducerMsg_15_16996.271303184
16999.561468348,ProducerMsg_16_16996.321301341
16999.771302737,ProducerMsg_17_16996.371314164
17000.060032087,ProducerMsg_18_16996.421292283
17000.271304015,ProducerMsg_19_16996.471309791
17000.536526594,ProducerMsg_20_16996.521278892
17000.771811509,ProducerMsg_21_16996.571308493
17001.021358440,ProducerMsg_22_16996.621304001
17001.271305606,ProducerMsg_23_16996.671319324
17001.521362178,ProducerMsg_24_16996.721311665
17001.780296805,ProducerMsg_25_16996.771316859
17002.058709058,ProducerMsg_26_16996.821301367
17002.271313637,ProducerMsg_27_16996.871307171
17002.533959964,ProducerMsg_28_16996.921308365
17002.798647861,ProducerMsg_29_16996.971315428
17003.024135971,ProducerMsg_30_16997.021303029
17003.291072436,ProducerMsg_31_16997.071307186
17003.553505820,ProducerMsg_32_16997.121299972
17003.771304139,ProducerMsg_33_16997.171492774
17004.033950909,ProducerMsg_34_16997.221305599
17004.271309261,ProducerMsg_35_16997.271306792
17004.521384349,ProducerMsg_36_16997.321304133
17004.771305568,ProducerMsg_37_16997.371311159
17005.022108462,ProducerMsg_38_16997.421313482
17005.271408131,ProducerMsg_39_16997.478333138
17005.561948381,ProducerMsg_40_16997.521295943
17005.771369565,ProducerMsg_41_16997.571303414
17006.021389171,ProducerMsg_42_16997.621301885
17006.294995136,ProducerMsg_43_16997.672070977
17006.521362288,ProducerMsg_44_16997.721299253
17006.771425114,ProducerMsg_45_16997.774623633
17007.059963458,ProducerMsg_46_16997.821319157
17007.271315102,ProducerMsg_47_16997.871309239
17007.533979497,ProducerMsg_48_16997.921299155
17007.772602666,ProducerMsg_49_16997.972198505
17008.022751398,ProducerMsg_50_16998.021298893
17008.272341172,ProducerMsg_51_16998.072056837
17008.532409408,ProducerMsg_52_16998.121293520
17008.771313129,ProducerMsg_53_16998.171305472
17009.034037837,ProducerMsg_54_16998.221289017
17009.271405777,ProducerMsg_55_16998.272300885
17009.521387582,ProducerMsg_56_16998.323463306
17009.771313166,ProducerMsg_57_16998.372076439
17010.068053364,ProducerMsg_58_16998.421304604
17010.271313313,ProducerMsg_59_16998.471305926
17010.524250531,ProducerMsg_60_16998.521303175
17010.771309052,ProducerMsg_61_16998.572112026
17011.049199726,ProducerMsg_62_16998.628077915
17011.271303845,ProducerMsg_63_16998.672067412
17011.568054836,ProducerMsg_64_16998.721298743
17011.771407580,ProducerMsg_65_16998.771305065
17012.021696232,ProducerMsg_66_16998.821286407
17012.324636471,ProducerMsg_67_16998.871297470
17012.569651660,ProducerMsg_68_16998.924087837
17012.771404161,ProducerMsg_69_16998.972369141
