timestamp,data
16867.601535168,ProducerMsg_0_16867.487895949
16867.738056530,ProducerMsg_1_16867.537987616
16867.988112575,ProducerMsg_2_16867.587966822
16868.237996251,ProducerMsg_3_16867.637959342
16868.508914624,ProducerMsg_4_16867.687955715
16868.738094283,ProducerMsg_5_16867.737959327
16868.992463969,ProducerMsg_6_16867.787970514
16869.238077223,ProducerMsg_7_16867.837971757
16869.500978563,ProducerMsg_8_16867.887972592
16869.740174047,ProducerMsg_9_16867.938021741
16869.988054556,ProducerMsg_10_16867.987956873
16870.264965366,ProducerMsg_11_16868.037953727
16870.518733722,ProducerMsg_12_16868.087951154
16870.737986145,ProducerMsg_13_16868.137971378
16871.000650560,ProducerMsg_14_16868.187968620
16871.252816931,ProducerMsg_15_16868.237945566
16871.488040489,ProducerMsg_16_16868.287965660
16871.737978919,ProducerMsg_17_16868.337967180
16872.018345471,ProducerMsg_18_16868.387957959
16872.237990073,ProducerMsg_19_16868.437966535
16872.500897539,ProducerMsg_20_16868.487947777
16872.740242388,ProducerMsg_21_16868.537983297
16873.035855471,ProducerMsg_22_16868.587962354
16873.238097523,ProducerMsg_23_16868.637972059
16873.500788934,ProducerMsg_24_16868.687968394
16873.742366130,ProducerMsg_25_16868.737979451
16873.988739648,ProducerMsg_26_16868.787976563
16874.240278540,ProducerMsg_27_16868.837975269
16874.521156286,ProducerMsg_28_16868.887960733
16874.738072265,ProducerMsg_29_16868.937977883
16875.001643962,ProducerMsg_30_16868.987964995
16875.238001745,ProducerMsg_31_16869.037978793
16875.488048872,ProducerMsg_32_16869.087963757
16875.737973111,ProducerMsg_33_16869.137978240
16876.036817991,ProducerMsg_34_16869.187968797
16876.237974643,ProducerMsg_35_16869.237973391
16876.500682698,ProducerMsg_36_16869.287969077
16876.738149616,ProducerMsg_37_16869.348306012
16876.988111891,ProducerMsg_38_16869.387968357
16877.237973555,ProducerMsg_39_16869.438041913
16877.534588546,ProducerMsg_40_16869.487968489
16877.737999249,ProducerMsg_41_16869.537985601
16877.988092577,ProducerMsg_42_16869.587980047
16878.238152793,ProducerMsg_43_16869.637991715
16878.488149991,ProducerMsg_44_16869.687980975
16878.737975302,ProducerMsg_45_16869.740173621
16878.999171091,ProducerMsg_46_16869.787973200
16879.237965659,ProducerMsg_47_16869.837984071
16879.500940244,ProducerMsg_48_16869.887973925
16879.737982126,ProducerMsg_49_16869.940053164
16879.988757407,ProducerMsg_50_16869.987985927
16880.237991111,ProducerMsg_51_16870.037986021
16880.526924174,ProducerMsg_52_16870.087979503
16880.738089296,ProducerMsg_53_16870.137982004
16881.000591477,ProducerMsg_54_16870.187971690
16881.237999927,ProducerMsg_55_16870.253341482
16881.543122031,ProducerMsg_56_16870.287985359
16881.753718805,ProducerMsg_57_16870.339392253
16882.027680407,ProducerMsg_58_16870.387965287
16882.238029072,ProducerMsg_59_16870.437967825
16882.555950101,ProducerMsg_60_16870.487952289
16882.737978939,ProducerMsg_61_16870.537972826
16883.040164144,ProducerMsg_62_16870.597852895
16883.250088387,ProducerMsg_63_16870.640186677
16883.554153683,ProducerMsg_64_16870.687979459
16883.737987742,ProducerMsg_65_16870.737985978
16884.000541474,ProducerMsg_66_16870.787965331
16884.247161161,ProducerMsg_67_16870.842074921
16884.488036573,ProducerMsg_68_16870.887971000
16884.740217444,ProducerMsg_69_16870.940077183
16884.988032064,ProducerMsg_70_16870.987962557
16885.237978087,ProducerMsg_71_16871.038000465
16889.534672320,ProducerMsg_72_16871.088017503
16889.534694153,ProducerMsg_73_16871.140060039
16889.534699042,ProducerMsg_74_16871.188084503
16889.534703598,ProducerMsg_75_16871.241731042
16889.534708024,ProducerMsg_76_16871.288029376
16889.534712431,ProducerMsg_77_16871.337991488
16889.534716949,ProducerMsg_78_16871.387976192
16889.534721912,ProducerMsg_79_16871.437977656
16889.534726209,ProducerMsg_80_16871.487978416
16889.534730486,ProducerMsg_81_16871.539605974
16889.534735079,ProducerMsg_82_16871.587968399
16889.534739412,ProducerMsg_83_16871.638001251
16889.534743708,ProducerMsg_84_16871.687973456
16889.534748227,ProducerMsg_85_16871.737983456
16889.534752486,ProducerMsg_86_16871.788095345
16889.534756782,ProducerMsg_87_16871.837979772
16889.534761116,ProducerMsg_88_16871.887982032
16889.738074140,ProducerMsg_89_16871.937985051
16890.034711150,ProducerMsg_90_16871.987978108
16890.238069803,ProducerMsg_91_16872.040078624
16890.532905644,ProducerMsg_92_16872.088090793
16890.747396721,ProducerMsg_93_16872.140200754
16890.988039368,ProducerMsg_94_16872.187972462
16891.237965402,ProducerMsg_95_16872.237991443
16891.554176322,ProducerMsg_96_16872.287966055
16891.737962949,ProducerMsg_97_16872.337995814
16892.044273525,ProducerMsg_98_16872.387981130
16892.244622650,ProducerMsg_99_16872.438234368
16892.488038174,ProducerMsg_100_16872.487970316
16892.737967447,ProducerMsg_101_16872.537992335
16893.025431637,ProducerMsg_102_16872.588039094
16893.247284748,ProducerMsg_103_16872.641065638
16893.489279656,ProducerMsg_104_16872.687992206
16893.737991051,ProducerMsg_105_16872.740121852
16893.988041321,ProducerMsg_106_16872.787972337
16894.244338046,ProducerMsg_107_16872.843259673
16894.488161934,ProducerMsg_108_16872.887966800
16894.741946462,ProducerMsg_109_16872.937972782
16894.988042660,ProducerMsg_110_16872.988030023
16895.237974762,ProducerMsg_111_16873.039260807
16895.524749418,ProducerMsg_112_16873.088655628
16895.745149412,ProducerMsg_113_16873.139216271
16895.988083141,ProducerMsg_114_16873.187975487
16896.246712006,ProducerMsg_115_16873.237980876
16896.488632855,ProducerMsg_116_16873.287960821
16896.737989869,ProducerMsg_117_16873.337975358
16897.024535045,ProducerMsg_118_16873.387973858
16897.249656766,ProducerMsg_119_16873.440112059
16897.488043094,ProducerMsg_120_16873.487976081
16897.737972564,ProducerMsg_121_16873.537978340
16898.046634773,ProducerMsg_122_16873.587964526
16898.237986651,ProducerMsg_123_16873.637986303
16898.523900718,ProducerMsg_124_16873.687986729
16898.745271328,ProducerMsg_125_16873.737986803
16898.988033222,ProducerMsg_126_16873.787978100
16899.237980005,ProducerMsg_127_16873.837980952
16899.534120097,ProducerMsg_128_16873.887982211
16899.748382537,ProducerMsg_129_16873.937982415
16899.988066238,ProducerMsg_130_16873.988690853
16900.237972428,ProducerMsg_131_16874.042441204
16900.523780493,ProducerMsg_132_16874.087975619
16900.752874190,ProducerMsg_133_16874.137988212
16901.017922725,ProducerMsg_134_16874.187976323
16901.247843708,ProducerMsg_135_16874.240166412
16901.489432832,ProducerMsg_136_16874.301204672
16901.737976849,ProducerMsg_137_16874.339209088
16902.024802069,ProducerMsg_138_16874.387969415
16902.242443695,ProducerMsg_139_16874.437985748
16902.488615215,ProducerMsg_140_16874.487975803
16902.737979444,ProducerMsg_141_16874.546891733
16903.044647777,ProducerMsg_142_16874.588062043
16903.278424663,ProducerMsg_143_16874.638007043
16903.500687851,ProducerMsg_144_16874.687965544
16903.737975590,ProducerMsg_145_16874.737964581
16904.057849973,ProducerMsg_146_16874.787947506
16904.238099327,ProducerMsg_147_16874.837999228
16904.488067862,ProducerMsg_148_16874.887976061
16904.737992824,ProducerMsg_149_16874.944973825
16905.029591121,ProducerMsg_150_16874.987970783
16905.245729870,ProducerMsg_151_16875.037974431
16905.488037648,ProducerMsg_152_16875.087965654
16905.737971034,ProducerMsg_153_16875.137973783
16906.071345221,ProducerMsg_154_16875.188133947
16906.246193110,ProducerMsg_155_16875.238001726
16906.489854614,ProducerMsg_156_16875.287986522
16906.738075794,ProducerMsg_157_16875.337984633
16907.025507927,ProducerMsg_158_16875.387965818
16907.250029810,ProducerMsg_159_16875.437987854
16907.488047112,ProducerMsg_160_16875.487986798
16907.737976329,ProducerMsg_161_16875.538246147
16908.033905596,ProducerMsg_162_16875.587974372
16908.246819448,ProducerMsg_163_16875.637985223
16908.535406734,ProducerMsg_164_16875.687977000
16908.738079541,ProducerMsg_165_16875.737972926
16909.034165399,ProducerMsg_166_16875.789290487
16909.248311274,ProducerMsg_167_16875.837962740
16909.488095740,ProducerMsg_168_16875.887977295
16909.737971863,ProducerMsg_169_16875.937967906
