timestamp,data
12298.208168670,ProducerMsg_0_12298.110726213
12298.360804607,ProducerMsg_1_12298.161280631
12298.610877371,ProducerMsg_2_12298.210757626
12298.860868505,ProducerMsg_3_12298.260757749
12299.131498360,ProducerMsg_4_12298.310767743
12299.360882472,ProducerMsg_5_12298.360744440
12299.615338441,ProducerMsg_6_12298.410739045
12299.860885768,ProducerMsg_7_12298.460735224
12300.111517098,ProducerMsg_8_12298.510742106
12300.361044946,ProducerMsg_9_12298.560754118
12300.611632403,ProducerMsg_10_12298.610750464
12300.860890826,ProducerMsg_11_12298.660760716
12301.154567976,ProducerMsg_12_12298.710749488
12301.360877217,ProducerMsg_13_12298.760760074
12301.610855578,ProducerMsg_14_12298.810760567
12301.861037123,ProducerMsg_15_12298.860763320
12302.111719591,ProducerMsg_16_12298.910769369
12302.374038116,ProducerMsg_17_12298.960758067
12302.647490258,ProducerMsg_18_12299.010748764
12302.872961219,ProducerMsg_19_12299.060774776
12303.110812441,ProducerMsg_20_12299.110747083
12303.362178565,ProducerMsg_21_12299.160786131
12303.641399704,ProducerMsg_22_12299.210763309
12303.872753255,ProducerMsg_23_12299.260785987
12304.110834361,ProducerMsg_24_12299.310758054
12304.360770410,ProducerMsg_25_12299.360770639
12304.610845181,ProducerMsg_26_12299.410760131
12304.860763416,ProducerMsg_27_12299.460767791
12305.147093157,ProducerMsg_28_12299.510761302
12305.372650957,ProducerMsg_29_12299.560777479
12305.610977201,ProducerMsg_30_12299.610748879
12305.860769209,ProducerMsg_31_12299.660770150
12306.146892408,ProducerMsg_32_12299.710762105
12306.360769496,ProducerMsg_33_12299.760777876
12306.646935987,ProducerMsg_34_12299.810761739
12306.881511497,ProducerMsg_35_12299.860769213
12307.111495075,ProducerMsg_36_12299.910755076
12307.360760075,ProducerMsg_37_12299.960770549
12307.647115004,ProducerMsg_38_12300.011971446
12307.870489375,ProducerMsg_39_12300.060774757
12308.111597287,ProducerMsg_40_12300.110764452
12308.361022226,ProducerMsg_41_12300.160757388
12308.623493941,ProducerMsg_42_12300.210761676
12308.860779101,ProducerMsg_43_12300.260753557
12309.147348541,ProducerMsg_44_12300.310755104
12309.372410899,ProducerMsg_45_12300.360795873
12309.611494826,ProducerMsg_46_12300.410761068
12309.860916556,ProducerMsg_47_12300.460771634
12310.146406846,ProducerMsg_48_12300.510763218
12310.369439279,ProducerMsg_49_12300.560768099
12310.610837066,ProducerMsg_50_12300.610764609
12310.860777419,ProducerMsg_51_12300.660785397
12311.146480629,ProducerMsg_52_12300.710763203
12311.360808861,ProducerMsg_53_12300.760776546
12311.647225657,ProducerMsg_54_12300.810749594
12311.868990608,ProducerMsg_55_12300.860770419
12312.110825666,ProducerMsg_56_12300.912225869
12312.360774713,ProducerMsg_57_12300.960794883
12312.646125192,ProducerMsg_58_12301.010762838
12312.869995614,ProducerMsg_59_12301.060775551
12313.110814096,ProducerMsg_60_12301.110763450
12313.360762380,ProducerMsg_61_12301.160754163
12313.623225866,ProducerMsg_62_12301.210759949
12313.860778261,ProducerMsg_63_12301.260773144
12314.146291770,ProducerMsg_64_12301.310765227
12314.373401970,ProducerMsg_65_12301.360765106
12314.643692168,ProducerMsg_66_12301.410756041
12314.874781856,ProducerMsg_67_12301.461087346
12315.110822565,ProducerMsg_68_12301.510772745
12315.360778210,ProducerMsg_69_12301.560770624
12315.611577666,ProducerMsg_70_12301.610779893
12315.860766165,ProducerMsg_71_12301.660766513
12316.147480566,ProducerMsg_72_12301.710763077
12316.372261931,ProducerMsg_73_12301.760775253
12316.610816550,ProducerMsg_74_12301.810788836
12316.860765375,ProducerMsg_75_12301.860806938
12317.146515162,ProducerMsg_76_12301.910769706
