timestamp,data
15880.529649839,ProducerMsg_0_15880.409994497
15880.660055471,ProducerMsg_1_15880.460055791
15880.910094593,ProducerMsg_2_15880.510059382
15881.160028069,ProducerMsg_3_15880.560061381
15881.442862661,ProducerMsg_4_15880.610042954
15881.660060370,ProducerMsg_5_15880.660056471
15881.914414930,ProducerMsg_6_15880.710045062
15882.160052098,ProducerMsg_7_15880.760030172
15882.440901497,ProducerMsg_8_15880.810024319
15882.660052252,ProducerMsg_9_15880.860017207
15882.910113634,ProducerMsg_10_15880.910030890
15883.160054314,ProducerMsg_11_15880.960019926
15883.440791271,ProducerMsg_12_15881.010050165
15883.660054932,ProducerMsg_13_15881.060036497
15883.910120332,ProducerMsg_14_15881.110046644
15884.160059309,ProducerMsg_15_15881.160024865
15884.440382808,ProducerMsg_16_15881.210018142
15884.660056334,ProducerMsg_17_15881.260034825
15884.910132772,ProducerMsg_18_15881.310024584
15885.160056489,ProducerMsg_19_15881.360052860
15885.440161918,ProducerMsg_20_15881.410049062
15885.666110927,ProducerMsg_21_15881.460102097
15885.910190841,ProducerMsg_22_15881.510048745
15886.160194743,ProducerMsg_23_15881.560061206
15886.461955340,ProducerMsg_24_15881.610048687
15886.679407324,ProducerMsg_25_15881.660060167
15886.910765922,ProducerMsg_26_15881.710049702
15887.160178999,ProducerMsg_27_15881.760055683
15887.440235560,ProducerMsg_28_15881.810050200
15887.660154712,ProducerMsg_29_15881.860056180
15887.910114485,ProducerMsg_30_15881.910048105
15888.160070425,ProducerMsg_31_15881.960056474
15888.440316649,ProducerMsg_32_15882.010050695
15888.660053267,ProducerMsg_33_15882.060057101
15888.910116595,ProducerMsg_34_15882.110047766
15889.160055035,ProducerMsg_35_15882.160053895
15889.440251113,ProducerMsg_36_15882.210043930
15889.660070044,ProducerMsg_37_15882.260055688
15889.910111354,ProducerMsg_38_15882.310042946
15890.160054609,ProducerMsg_39_15882.360049575
15890.440394814,ProducerMsg_40_15882.410046740
15890.660159729,ProducerMsg_41_15882.460092312
15890.910800252,ProducerMsg_42_15882.510040293
15891.160148627,ProducerMsg_43_15882.560056903
15891.440397519,ProducerMsg_44_15882.610048106
15891.660264080,ProducerMsg_45_15882.660052160
15891.910936918,ProducerMsg_46_15882.710060103
15892.160268627,ProducerMsg_47_15882.760055750
15892.469249196,ProducerMsg_48_15882.810052804
15892.673127711,ProducerMsg_49_15882.860062136
15892.910248949,ProducerMsg_50_15882.910042117
15893.160047596,ProducerMsg_51_15882.960056300
15893.440230841,ProducerMsg_52_15883.010054077
15893.660050847,ProducerMsg_53_15883.060089964
15893.910117435,ProducerMsg_54_15883.110040149
15894.160053192,ProducerMsg_55_15883.160054388
15894.440156605,ProducerMsg_56_15883.210050091
15894.660173609,ProducerMsg_57_15883.260060867
15894.910800318,ProducerMsg_58_15883.310059570
15895.160165009,ProducerMsg_59_15883.360065439
15895.440334977,ProducerMsg_60_15883.410048512
15895.660159428,ProducerMsg_61_15883.460054492
15895.910734213,ProducerMsg_62_15883.510052824
15896.160164755,ProducerMsg_63_15883.560058656
15896.440049542,ProducerMsg_64_15883.610052192
15896.660155193,ProducerMsg_65_15883.660055765
15896.910824699,ProducerMsg_66_15883.710038894
15897.160162206,ProducerMsg_67_15883.760058633
15897.440316970,ProducerMsg_68_15883.810052150
15897.660153978,ProducerMsg_69_15883.860058408
15897.910813947,ProducerMsg_70_15883.910042741
15898.160265730,ProducerMsg_71_15883.960057184
15898.440226331,ProducerMsg_72_15884.010050497
15898.660043931,ProducerMsg_73_15884.060064663
15898.910116724,ProducerMsg_74_15884.110049014
15899.160047981,ProducerMsg_75_15884.160059105
15899.440382411,ProducerMsg_76_15884.210053270
15899.660164271,ProducerMsg_77_15884.260062473
15899.910711168,ProducerMsg_78_15884.310051694
15900.160164247,ProducerMsg_79_15884.360054971
15900.440267421,ProducerMsg_80_15884.410055340
15900.660214168,ProducerMsg_81_15884.460067450
15900.910788602,ProducerMsg_82_15884.510095467
15901.160155553,ProducerMsg_83_15884.560052855
15901.440402725,ProducerMsg_84_15884.610054150
15901.660057199,ProducerMsg_85_15884.660057834
15901.910125622,ProducerMsg_86_15884.710043000
15902.160052584,ProducerMsg_87_15884.760056035
15902.440765879,ProducerMsg_88_15884.810060405
