timestamp,data
13571.462567814,ProducerMsg_0_13571.338446211
13571.588490413,ProducerMsg_1_13571.388515721
13571.838526263,ProducerMsg_2_13571.438519121
13572.088492058,ProducerMsg_3_13571.488496651
13572.371269181,ProducerMsg_4_13571.538492254
13572.588502295,ProducerMsg_5_13571.588489265
13572.842991517,ProducerMsg_6_13571.638478276
13573.088506754,ProducerMsg_7_13571.688467657
13573.352935079,ProducerMsg_8_13571.738476779
13573.592163150,ProducerMsg_9_13571.788468679
13573.849572392,ProducerMsg_10_13571.838474504
13574.094393008,ProducerMsg_11_13571.888468367
13574.380708736,ProducerMsg_12_13571.938472063
13574.609527173,ProducerMsg_13_13571.988492277
13574.838543848,ProducerMsg_14_13572.038491344
13575.115188284,ProducerMsg_15_13572.088497725
13575.352508082,ProducerMsg_16_13572.138489199
13575.588773336,ProducerMsg_17_13572.188482450
13575.882732638,ProducerMsg_18_13572.238468813
13576.092239603,ProducerMsg_19_13572.288510082
13576.350970069,ProducerMsg_20_13572.338470445
13576.594145370,ProducerMsg_21_13572.388500641
13576.838544433,ProducerMsg_22_13572.438498244
13577.088710280,ProducerMsg_23_13572.488521866
13577.353771650,ProducerMsg_24_13572.538500692
13577.588512441,ProducerMsg_25_13572.588501462
13577.839251484,ProducerMsg_26_13572.638482769
13578.088625321,ProducerMsg_27_13572.688496872
13578.353017995,ProducerMsg_28_13572.738493920
13578.588633664,ProducerMsg_29_13572.788501079
13578.879287745,ProducerMsg_30_13572.838478849
13579.103486162,ProducerMsg_31_13572.888500471
13579.380703071,ProducerMsg_32_13572.938495148
13579.607203386,ProducerMsg_33_13572.988510307
13579.880602544,ProducerMsg_34_13573.038484633
13580.109569866,ProducerMsg_35_13573.088508180
13580.379837043,ProducerMsg_36_13573.138496747
13580.598122938,ProducerMsg_37_13573.188528127
13580.873984604,ProducerMsg_38_13573.247398050
13581.110457261,ProducerMsg_39_13573.288516778
13581.338552741,ProducerMsg_40_13573.338497623
13581.588667956,ProducerMsg_41_13573.388533114
13581.882072207,ProducerMsg_42_13573.439374337
13582.092152959,ProducerMsg_43_13573.497026682
13582.387582629,ProducerMsg_44_13573.538499647
13582.588509584,ProducerMsg_45_13573.592163391
13582.838560929,ProducerMsg_46_13573.638494612
13583.091856420,ProducerMsg_47_13573.688554271
13583.392689747,ProducerMsg_48_13573.738505060
13583.668947536,ProducerMsg_49_13573.788501422
13583.851309029,ProducerMsg_50_13573.849521819
13584.117979062,ProducerMsg_51_13573.888501740
13584.344737669,ProducerMsg_52_13573.938513250
13584.588586643,ProducerMsg_53_13573.988756239
13584.842032132,ProducerMsg_54_13574.038517531
13585.088670777,ProducerMsg_55_13574.094399804
13585.340081475,ProducerMsg_56_13574.138492478
13585.588678948,ProducerMsg_57_13574.188497822
13585.883772269,ProducerMsg_58_13574.238485166
13586.088501676,ProducerMsg_59_13574.288500214
13586.372970699,ProducerMsg_60_13574.338498761
13586.601506746,ProducerMsg_61_13574.388499457
13586.839370958,ProducerMsg_62_13574.446210597
13587.088514702,ProducerMsg_63_13574.488878418
13587.390729436,ProducerMsg_64_13574.540070525
13587.592051940,ProducerMsg_65_13574.589166325
13587.887429719,ProducerMsg_66_13574.640075732
13588.088618298,ProducerMsg_67_13574.691557335
13588.338551365,ProducerMsg_68_13574.738492846
13588.588519246,ProducerMsg_69_13574.788505727
13588.883495511,ProducerMsg_70_13574.838482330
13589.088507192,ProducerMsg_71_13574.888505359
13589.339198620,ProducerMsg_72_13574.938507166
13589.588495397,ProducerMsg_73_13574.988503954
13589.901058636,ProducerMsg_74_13575.052970235
13590.088498361,ProducerMsg_75_13575.089423390
13590.338549222,ProducerMsg_76_13575.140060208
13590.588612379,ProducerMsg_77_13575.194828402
13590.839216288,ProducerMsg_78_13575.240067469
13591.128543824,ProducerMsg_79_13575.288502221
13591.375289743,ProducerMsg_80_13575.338489750
13591.588506361,ProducerMsg_81_13575.388496316
13591.840140721,ProducerMsg_82_13575.438495104
13592.096054048,ProducerMsg_83_13575.492077553
13592.358040060,ProducerMsg_84_13575.546293791
13592.590857461,ProducerMsg_85_13575.588602783
13592.942590874,ProducerMsg_86_13575.640065887
13593.092065260,ProducerMsg_87_13575.688516064
13593.379054452,ProducerMsg_88_13575.738495686
13593.597468674,ProducerMsg_89_13575.790901167
13593.880067438,ProducerMsg_90_13575.840072336
13594.105369892,ProducerMsg_91_13575.888493477
13594.377904313,ProducerMsg_92_13575.938495024
13594.598025977,ProducerMsg_93_13575.988500257
13594.879550254,ProducerMsg_94_13576.038496990
13595.098443192,ProducerMsg_95_13576.092126642
13595.373849800,ProducerMsg_96_13576.141804360
13595.591617418,ProducerMsg_97_13576.188487799
13595.878955921,ProducerMsg_98_13576.238494865
13596.185527524,ProducerMsg_99_13576.289311680
13596.373083617,ProducerMsg_100_13576.338491645
13596.606078681,ProducerMsg_101_13576.388497025
13596.882347093,ProducerMsg_102_13576.438498240
13597.088602794,ProducerMsg_103_13576.489746735
13597.347067439,ProducerMsg_104_13576.538509557
13597.590455378,ProducerMsg_105_13576.594144851
13597.849862382,ProducerMsg_106_13576.638499411
13598.088504877,ProducerMsg_107_13576.688506273
