timestamp,data
11963.697492142,ProducerMsg_0_11963.583859730
11963.833882515,ProducerMsg_1_11963.633918345
11964.083915688,ProducerMsg_2_11963.683887666
11964.333881807,ProducerMsg_3_11963.733876282
11964.616388249,ProducerMsg_4_11963.783874491
11964.833883822,ProducerMsg_5_11963.833879515
11965.092389025,ProducerMsg_6_11963.883878946
11965.333887744,ProducerMsg_7_11963.933880099
11965.583967547,ProducerMsg_8_11963.983858623
11965.833893703,ProducerMsg_9_11964.033859091
11966.119798098,ProducerMsg_10_11964.083856300
11966.341922161,ProducerMsg_11_11964.133862676
11966.583953835,ProducerMsg_12_11964.183853681
11966.833886269,ProducerMsg_13_11964.233894278
11967.118518756,ProducerMsg_14_11964.283878450
11967.333890617,ProducerMsg_15_11964.333881437
11967.586225573,ProducerMsg_16_11964.383880794
11967.833888798,ProducerMsg_17_11964.433890558
11968.108782920,ProducerMsg_18_11964.483865527
11968.333889460,ProducerMsg_19_11964.533886550
11968.620511586,ProducerMsg_20_11964.583881333
11968.851893797,ProducerMsg_21_11964.633872579
11969.084056479,ProducerMsg_22_11964.683891103
11969.333917025,ProducerMsg_23_11964.733868553
11969.646766154,ProducerMsg_24_11964.783883058
11969.849224140,ProducerMsg_25_11964.833883452
11970.084044508,ProducerMsg_26_11964.883891605
11970.333916646,ProducerMsg_27_11964.933884536
11970.650753386,ProducerMsg_28_11964.983878208
11970.856533863,ProducerMsg_29_11965.033892472
11971.083993981,ProducerMsg_30_11965.083897403
11971.333906007,ProducerMsg_31_11965.133884279
11971.651612253,ProducerMsg_32_11965.183868636
11971.851170595,ProducerMsg_33_11965.233890252
11972.083938028,ProducerMsg_34_11965.283897924
11972.333899776,ProducerMsg_35_11965.333887596
11972.619786262,ProducerMsg_36_11965.383884935
11972.833875808,ProducerMsg_37_11965.433905310
11973.083937758,ProducerMsg_38_11965.483870704
11973.333891451,ProducerMsg_39_11965.533885561
11973.618953505,ProducerMsg_40_11965.583887640
11973.833884965,ProducerMsg_41_11965.633894238
11974.083930841,ProducerMsg_42_11965.683887984
11974.333893163,ProducerMsg_43_11965.733893656
11974.619688781,ProducerMsg_44_11965.783873661
11974.833889195,ProducerMsg_45_11965.833893962
11975.083931090,ProducerMsg_46_11965.883885616
11975.333979355,ProducerMsg_47_11965.933933768
11975.583956881,ProducerMsg_48_11965.983873830
11975.834042275,ProducerMsg_49_11966.033885946
11976.083962412,ProducerMsg_50_11966.083883118
11976.333892290,ProducerMsg_51_11966.133885642
11976.619217414,ProducerMsg_52_11966.183884591
11976.833884822,ProducerMsg_53_11966.233893652
11977.084137214,ProducerMsg_54_11966.283883731
11977.333887279,ProducerMsg_55_11966.335951930
11977.618736928,ProducerMsg_56_11966.408614803
11977.833882625,ProducerMsg_57_11966.433899024
11978.083928909,ProducerMsg_58_11966.483887363
11978.333884638,ProducerMsg_59_11966.533896590
11978.617751208,ProducerMsg_60_11966.583878892
11978.833882929,ProducerMsg_61_11966.633889323
11979.083965101,ProducerMsg_62_11966.683892143
11979.333889201,ProducerMsg_63_11966.733885944
11979.618874681,ProducerMsg_64_11966.783881653
11979.833887399,ProducerMsg_65_11966.833887029
11980.083967033,ProducerMsg_66_11966.883888237
11980.333890837,ProducerMsg_67_11966.933888631
11980.617891553,ProducerMsg_68_11966.983882766
11980.833882887,ProducerMsg_69_11967.033890012
11981.083943892,ProducerMsg_70_11967.083894647
11981.334029286,ProducerMsg_71_11967.133891634
11981.583964589,ProducerMsg_72_11967.183878380
11981.833890430,ProducerMsg_73_11967.233891125
11982.156932526,ProducerMsg_74_11967.283889964
11982.333895775,ProducerMsg_75_11967.333889006
11982.583944114,ProducerMsg_76_11967.383889085
11982.833887140,ProducerMsg_77_11967.433890942
11983.119459556,ProducerMsg_78_11967.483886670
11983.333893670,ProducerMsg_79_11967.533952359
11983.583998193,ProducerMsg_80_11967.583910883
11983.838307658,ProducerMsg_81_11967.633887629
11984.385073683,ProducerMsg_82_11967.683890190
11984.385147311,ProducerMsg_83_11967.734024267
11984.597194125,ProducerMsg_84_11967.783886330
11984.833879447,ProducerMsg_85_11967.833888483
11985.093482023,ProducerMsg_86_11967.883884470
11985.584597177,ProducerMsg_87_11967.933875512
11985.584630473,ProducerMsg_88_11967.983887036
11985.945440930,ProducerMsg_89_11968.033888467
11986.127764382,ProducerMsg_90_11968.083887490
11986.376092263,ProducerMsg_91_11968.133882625
11986.684084828,ProducerMsg_92_11968.183882167
11986.851149086,ProducerMsg_93_11968.233887784
11987.126618921,ProducerMsg_94_11968.283886974
11987.333889376,ProducerMsg_95_11968.333889220
11987.583953640,ProducerMsg_96_11968.383884725
11987.854663393,ProducerMsg_97_11968.433882878
11988.120637342,ProducerMsg_98_11968.483867865
11988.338411891,ProducerMsg_99_11968.533882500
11988.694462433,ProducerMsg_100_11968.583892986
11988.862206718,ProducerMsg_101_11968.633894695
11989.097220100,ProducerMsg_102_11968.683885793
11989.348343590,ProducerMsg_103_11968.733934982
11989.633752786,ProducerMsg_104_11968.783921525
11989.833914784,ProducerMsg_105_11968.833917289
11990.204126165,ProducerMsg_106_11968.883900165
11990.351908988,ProducerMsg_107_11968.933915318
11990.627439026,ProducerMsg_108_11968.983906619
11990.833890955,ProducerMsg_109_11969.033937254
11991.102063929,ProducerMsg_110_11969.083910333
11991.362385253,ProducerMsg_111_11969.133908746
11991.637315040,ProducerMsg_112_11969.183909936
11991.846454838,ProducerMsg_113_11969.233928108
11992.132399804,ProducerMsg_114_11969.283906446
11992.334071893,ProducerMsg_115_11969.333916748
11992.636524461,ProducerMsg_116_11969.383913531
11992.836118153,ProducerMsg_117_11969.433948665
11993.135871907,ProducerMsg_118_11969.483904504
11993.358301242,ProducerMsg_119_11969.533923750
11993.628235506,ProducerMsg_120_11969.583908533
11993.833994556,ProducerMsg_121_11969.633919612
11994.111604305,ProducerMsg_122_11969.683904098
11994.363546357,ProducerMsg_123_11969.733911585
11994.890720617,ProducerMsg_124_11969.783908016
11994.890813468,ProducerMsg_125_11969.833940650
11995.083978693,ProducerMsg_126_11969.883901619
11995.348787899,ProducerMsg_127_11969.933929013
11995.638334370,ProducerMsg_128_11969.983916222
11995.963375067,ProducerMsg_129_11970.033925023
