timestamp,data
17179.719825263,ProducerMsg_0_17179.655313746
17179.905376867,ProducerMsg_1_17179.705386351
17180.155422543,ProducerMsg_2_17179.755382383
17180.405396961,ProducerMsg_3_17179.805386377
17180.688720893,ProducerMsg_4_17179.855389594
17180.905443164,ProducerMsg_5_17179.905375534
17181.160081325,ProducerMsg_6_17179.955366788
17181.405454312,ProducerMsg_7_17180.005366005
17181.661907415,ProducerMsg_8_17180.055366073
17181.906858240,ProducerMsg_9_17180.105370734
17182.167048430,ProducerMsg_10_17180.155368951
17182.434379892,ProducerMsg_11_17180.205389964
17182.657939808,ProducerMsg_12_17180.255390533
17182.905443178,ProducerMsg_13_17180.305399083
17183.206222708,ProducerMsg_14_17180.355397244
17183.405874985,ProducerMsg_15_17180.405396794
17183.668450980,ProducerMsg_16_17180.455397233
17183.919823250,ProducerMsg_17_17180.505385857
17184.175013588,ProducerMsg_18_17180.555369889
17184.406180102,ProducerMsg_19_17180.605411698
17184.705521740,ProducerMsg_20_17180.655376767
17184.905420402,ProducerMsg_21_17180.705401316
17185.161991057,ProducerMsg_22_17180.755383978
17185.422683424,ProducerMsg_23_17180.805404361
17185.666846459,ProducerMsg_24_17180.855448337
17185.906818077,ProducerMsg_25_17180.905442664
17186.203519799,ProducerMsg_26_17180.955418178
17186.405411715,ProducerMsg_27_17181.005686021
17186.668094245,ProducerMsg_28_17181.055414852
17186.916096791,ProducerMsg_29_17181.105422420
17187.155460119,ProducerMsg_30_17181.155463136
17187.407489101,ProducerMsg_31_17181.205448038
17187.655465128,ProducerMsg_32_17181.255429088
17187.908651338,ProducerMsg_33_17181.305433583
17188.155454119,ProducerMsg_34_17181.355800851
17188.408170907,ProducerMsg_35_17181.405447238
17188.698385718,ProducerMsg_36_17181.455460603
17190.086203517,ProducerMsg_37_17181.516207106
17190.086280943,ProducerMsg_38_17181.555482332
17190.086286017,ProducerMsg_39_17181.605459660
17190.086291665,ProducerMsg_40_17181.655475413
17190.086296794,ProducerMsg_41_17181.707359275
17190.156336025,ProducerMsg_42_17181.755472050
17190.405438371,ProducerMsg_43_17181.805443026
17190.664929563,ProducerMsg_44_17181.855467409
17190.905693836,ProducerMsg_45_17181.905454571
17191.206343323,ProducerMsg_46_17181.955409343
17191.405918578,ProducerMsg_47_17182.008416137
17191.656398370,ProducerMsg_48_17182.055446128
17191.916538998,ProducerMsg_49_17182.105556880
17192.156799072,ProducerMsg_50_17182.155467153
