timestamp,data
9273.550712702,ProducerMsg_0_9273.433915168
9273.684058214,ProducerMsg_1_9273.484029909
9273.934090538,ProducerMsg_2_9273.533974338
9274.184085734,ProducerMsg_3_9273.583956118
9274.467621619,ProducerMsg_4_9273.633966454
9274.684170123,ProducerMsg_5_9273.683951604
9274.938621087,ProducerMsg_6_9273.733939828
9275.184142848,ProducerMsg_7_9273.783936571
9275.627295653,ProducerMsg_8_9273.833943629
9275.685650921,ProducerMsg_9_9273.883939816
9275.965926225,ProducerMsg_10_9273.933951429
9276.183978855,ProducerMsg_11_9273.983956931
9276.435444603,ProducerMsg_12_9274.033944730
9276.690314616,ProducerMsg_13_9274.083965435
9276.946517183,ProducerMsg_14_9274.133955956
9277.183971619,ProducerMsg_15_9274.183965884
9277.435198834,ProducerMsg_16_9274.233967441
9277.748704814,ProducerMsg_17_9274.283967128
9277.934044261,ProducerMsg_18_9274.333947353
9278.263914073,ProducerMsg_19_9274.383970336
9278.485400616,ProducerMsg_20_9274.433945987
9278.684270048,ProducerMsg_21_9274.483975488
9278.948956083,ProducerMsg_22_9274.533962083
9279.230461276,ProducerMsg_23_9274.583963345
9279.554038663,ProducerMsg_24_9274.633966050
9279.683964817,ProducerMsg_25_9274.683996496
9279.934839797,ProducerMsg_26_9274.733961406
9280.209374926,ProducerMsg_27_9274.783989519
9280.556661241,ProducerMsg_28_9274.833969447
9280.683982712,ProducerMsg_29_9274.884038189
9280.939720008,ProducerMsg_30_9274.933963989
9281.294674764,ProducerMsg_31_9274.983991842
9281.574438706,ProducerMsg_32_9275.033966030
9281.688644908,ProducerMsg_33_9275.083973495
9281.951592116,ProducerMsg_34_9275.133963423
9282.184087515,ProducerMsg_35_9275.183994850
9282.446497935,ProducerMsg_36_9275.233964538
9282.688064626,ProducerMsg_37_9275.284053002
9283.218565512,ProducerMsg_38_9275.355919829
9283.218595697,ProducerMsg_39_9275.383983229
9283.484903967,ProducerMsg_40_9275.433969454
9283.701836707,ProducerMsg_41_9275.483975400
9283.993420066,ProducerMsg_42_9275.545915893
9284.215608803,ProducerMsg_43_9275.584122902
9284.434059150,ProducerMsg_44_9275.636156041
9284.688906312,ProducerMsg_45_9275.685650069
9284.984895402,ProducerMsg_46_9275.733977374
9285.183966036,ProducerMsg_47_9275.783962468
9285.445663615,ProducerMsg_48_9275.833954730
9285.683966076,ProducerMsg_49_9275.883970769
9285.965959763,ProducerMsg_50_9275.951518345
9286.183971691,ProducerMsg_51_9275.984075753
9286.434044756,ProducerMsg_52_9276.034029922
